MonthYear,Station,Entry_Exit,Trip
2016-07,Mindaribba Station,Entry,Less than 50
2016-07,Mindaribba Station,Exit,Less than 50
2016-07,Minnamurra Station,Entry,1880
2016-07,Minnamurra Station,Exit,1950
2016-07,Minto Station,Entry,69470
2016-07,Minto Station,Exit,66420
2016-07,Miranda Station,Entry,86990
2016-07,Miranda Station,Exit,92050
2016-07,Mittagong Station,Entry,3750
2016-07,Mittagong Station,Exit,3420
2016-07,Morisset Station,Entry,18250
2016-07,Morisset Station,Exit,16620
2016-07,Mortdale Station,Entry,84680
2016-07,Mortdale Station,Exit,77930
2016-07,Moss Vale Station,Entry,4020
2016-07,Moss Vale Station,Exit,3770
2016-07,Mount Colah Station,Entry,10340
2016-07,Mount Colah Station,Exit,9750
2016-07,Mount Druitt Station,Entry,162300
2016-07,Mount Druitt Station,Exit,155620
2016-07,Mount Kuring-gai Station,Entry,5880
2016-07,Mount Kuring-gai Station,Exit,5270
2016-07,Mount Victoria Station,Entry,2440
2016-07,Mount Victoria Station,Exit,2370
2016-07,Mulgrave Station,Entry,6480
2016-07,Mulgrave Station,Exit,6370
2016-07,Museum Station,Entry,286730
2016-07,Museum Station,Exit,316050
2016-07,Muswellbrook Station,Entry,570
2016-07,Muswellbrook Station,Exit,390
2016-07,Narara Station,Entry,8640
2016-07,Narara Station,Exit,6890
2016-07,Narwee Station,Entry,40880
2016-07,Narwee Station,Exit,35990
2016-07,Newcastle Interchange,Entry,4470
2016-07,Newcastle Interchange,Exit,210
2016-07,Newcastle Station,Entry,4900
2016-07,Newcastle Station,Exit,520
2016-07,Newtown Station,Entry,227910
2016-07,Newtown Station,Exit,245550
2016-07,Niagara Park Station,Entry,2900
2016-07,Niagara Park Station,Exit,2570
2016-07,Normanhurst Station,Entry,33150
2016-07,Normanhurst Station,Exit,27790
2016-07,North Ryde Station,Entry,45010
2016-07,North Ryde Station,Exit,46260
2016-07,North Strathfield Station,Entry,62230
2016-07,North Strathfield Station,Exit,59550
2016-07,North Sydney Station,Entry,637250
2016-07,North Sydney Station,Exit,659610
2016-07,North Wollongong Station,Entry,30170
2016-07,North Wollongong Station,Exit,30140
2016-07,Oak Flats Station,Entry,8610
2016-07,Oak Flats Station,Exit,7670
2016-07,Oatley Station,Entry,42360
2016-07,Oatley Station,Exit,40230
2016-07,Olympic Park Station,Entry,99220
2016-07,Olympic Park Station,Exit,107360
2016-07,Otford Station,Entry,1480
2016-07,Otford Station,Exit,1450
2016-07,Ourimbah Station,Entry,5570
2016-07,Ourimbah Station,Exit,5310
2016-07,Padstow Station,Entry,89430
2016-07,Padstow Station,Exit,83850
2016-07,Panania Station,Entry,30680
2016-07,Panania Station,Exit,28210
2016-07,Parramatta Station,Entry,806630
2016-07,Parramatta Station,Exit,833480
2016-07,Paterson Station,Entry,120
2016-07,Paterson Station,Exit,90
2016-07,Pendle Hill Station,Entry,66580
2016-07,Pendle Hill Station,Exit,61230
2016-07,Pennant Hills Station,Entry,70400
2016-07,Pennant Hills Station,Exit,71220
2016-07,Penrith Station,Entry,168680
2016-07,Penrith Station,Exit,168700
2016-07,Penrose Station,Entry,Less than 50
2016-07,Penrose Station,Exit,Less than 50
2016-07,Penshurst Station,Entry,74560
2016-07,Penshurst Station,Exit,66180
2016-07,Petersham Station,Entry,73940
2016-07,Petersham Station,Exit,70800
2016-07,Picton Station,Entry,4340
2016-07,Picton Station,Exit,3760
2016-07,Point Clare Station,Entry,4790
2016-07,Point Clare Station,Exit,4160
2016-07,Port Kembla North Station,Entry,180
2016-07,Port Kembla North Station,Exit,200
2016-07,Port Kembla Station,Entry,1170
2016-07,Port Kembla Station,Exit,1060
2016-07,Punchbowl Station,Entry,57050
2016-07,Punchbowl Station,Exit,53190
2016-07,Pymble Station,Entry,52050
2016-07,Pymble Station,Exit,47360
2016-07,Quakers Hill Station,Entry,65870
2016-07,Quakers Hill Station,Exit,58420
2016-07,Redfern Station,Entry,484660
2016-07,Redfern Station,Exit,505880
2016-07,Regents Park Station,Entry,25480
2016-07,Regents Park Station,Exit,24540
2016-07,Revesby Station,Entry,91650
2016-07,Revesby Station,Exit,88650
2016-07,Rhodes Station,Entry,222970
2016-07,Rhodes Station,Exit,217850
2016-07,Richmond Station,Entry,17420
2016-07,Richmond Station,Exit,15870
2016-07,Riverstone Station,Entry,15150
2016-07,Riverstone Station,Exit,13190
2016-07,Riverwood Station,Entry,100040
2016-07,Riverwood Station,Exit,93120
2016-07,Rockdale Station,Entry,253220
2016-07,Rockdale Station,Exit,241020
2016-07,Rooty Hill Station,Entry,58880
2016-07,Rooty Hill Station,Exit,55410
2016-07,Rosehill Station,Entry,3740
2016-07,Rosehill Station,Exit,3750
2016-07,Roseville Station,Entry,60300
2016-07,Roseville Station,Exit,56230
2016-07,Rydalmere Station,Entry,3070
2016-07,Rydalmere Station,Exit,3920
2016-07,Sandgate Station,Entry,250
2016-07,Sandgate Station,Exit,220
2016-07,Scarborough Station,Entry,540
2016-07,Scarborough Station,Exit,460
2016-07,Schofields Station,Entry,25490
2016-07,Schofields Station,Exit,24380
2016-07,Scone Station,Entry,260
2016-07,Scone Station,Exit,160
2016-07,Sefton Station,Entry,13480
2016-07,Sefton Station,Exit,10930
2016-07,Seven Hills Station,Entry,130560
2016-07,Seven Hills Station,Exit,126270
2016-07,Shellharbour Junction Station,Entry,2920
2016-07,Shellharbour Junction Station,Exit,2780
2016-07,Singleton Station,Entry,600
2016-07,Singleton Station,Exit,420
2016-07,Springwood Station,Entry,26980
2016-07,Springwood Station,Exit,25810
2016-07,St James Station,Entry,266080
2016-07,St James Station,Exit,279470
2016-07,St Leonards Station,Entry,392200
2016-07,St Leonards Station,Exit,393020
2016-07,St Marys Station,Entry,94890
2016-07,St Marys Station,Exit,91260
2016-07,St Peters Station,Entry,96210
2016-07,St Peters Station,Exit,85160
2016-07,Stanmore Station,Entry,82980
2016-07,Stanmore Station,Exit,73900
2016-07,Stanwell Park Station,Entry,1520
2016-07,Stanwell Park Station,Exit,1430
2016-07,Strathfield Station,Entry,600780
2016-07,Strathfield Station,Exit,588670
2016-07,Summer Hill Station,Entry,86050
2016-07,Summer Hill Station,Exit,78670
2016-07,Sutherland Station,Entry,156870
2016-07,Sutherland Station,Exit,153240
2016-07,Sydenham Station,Entry,164880
2016-07,Sydenham Station,Exit,160860
2016-07,Tahmoor Station,Entry,3540
2016-07,Tahmoor Station,Exit,3290
2016-07,Tallong Station,Entry,Less than 50
2016-07,Tallong Station,Exit,Less than 50
2016-07,Tarro Station,Entry,190
2016-07,Tarro Station,Exit,160
2016-07,Tascott Station,Entry,3760
2016-07,Tascott Station,Exit,3290
2016-07,Telarah Station,Entry,2610
2016-07,Telarah Station,Exit,2250
2016-07,Telopea Station,Entry,6140
2016-07,Telopea Station,Exit,4800
2016-07,Tempe Station,Entry,31910
2016-07,Tempe Station,Exit,30590
2016-07,Teralba Station,Entry,640
2016-07,Teralba Station,Exit,570
2016-07,Thirroul Station,Entry,21860
2016-07,Thirroul Station,Exit,20250
2016-07,Thornleigh Station,Entry,44890
2016-07,Thornleigh Station,Exit,43370
2016-07,Thornton Station,Entry,3740
2016-07,Thornton Station,Exit,3110
2016-07,Toongabbie Station,Entry,51850
2016-07,Toongabbie Station,Exit,48040
2016-07,Town Hall Station,Entry,2705340
2016-07,Town Hall Station,Exit,2683470
2016-07,Towradgi Station,Entry,1660
2016-07,Towradgi Station,Exit,1550
2016-07,Tuggerah Station,Entry,29500
2016-07,Tuggerah Station,Exit,28890
2016-07,Turramurra Station,Entry,88650
2016-07,Turramurra Station,Exit,85200
2016-07,Turrella Station,Entry,29610
2016-07,Turrella Station,Exit,26890
2016-07,Unanderra Station,Entry,10580
2016-07,Unanderra Station,Exit,9870
2016-07,Valley Heights Station,Entry,1700
2016-07,Valley Heights Station,Exit,1600
2016-07,Victoria Street Station,Entry,5530
2016-07,Victoria Street Station,Exit,4730
2016-07,Villawood Station,Entry,10950
2016-07,Villawood Station,Exit,9930
2016-07,Vineyard Station,Entry,2070
2016-07,Vineyard Station,Exit,2050
2016-07,Wahroonga Station,Entry,41840
2016-07,Wahroonga Station,Exit,39620
2016-07,Waitara Station,Entry,64360
2016-07,Waitara Station,Exit,62660
2016-07,Wallarobba Station,Entry,Less than 50
2016-07,Wallarobba Station,Exit,Less than 50
2016-07,Warabrook Station,Entry,5010
2016-07,Warabrook Station,Exit,4940
2016-07,Waratah Station,Entry,3370
2016-07,Waratah Station,Exit,3060
2016-07,Warnervale Station,Entry,4930
2016-07,Warnervale Station,Exit,4480
2016-07,Warrawee Station,Entry,19720
2016-07,Warrawee Station,Exit,17520
2016-07,Warrimoo Station,Entry,4080
2016-07,Warrimoo Station,Exit,3870
2016-07,Warwick Farm Station,Entry,50520
2016-07,Warwick Farm Station,Exit,46500
2016-07,Waterfall Station,Entry,9470
2016-07,Waterfall Station,Exit,9430
2016-07,Waverton Station,Entry,57660
2016-07,Waverton Station,Exit,49780
2016-07,Wentworth Falls Station,Entry,10430
2016-07,Wentworth Falls Station,Exit,9570
2016-07,Wentworthville Station,Entry,75590
2016-07,Wentworthville Station,Exit,70920
2016-07,Werrington Station,Entry,23090
2016-07,Werrington Station,Exit,20370
2016-07,West Ryde Station,Entry,103090
2016-07,West Ryde Station,Exit,101140
2016-07,Westmead Station,Entry,165620
2016-07,Westmead Station,Exit,156560
2016-07,Wiley Park Station,Entry,41290
